choices,labels,question
"['A) bank', 'B) library', 'C) department store', 'D) mall', 'E) new york']",A,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?"
"['A) complete job', 'B) learn from each other', 'C) kill animals', 'D) wear hats', 'E) talk to each other']",A,What do people aim to do at work?
"['A) doctor', 'B) bookstore', 'C) market', 'D) train station', 'E) mortuary']",B,Where would you find magazines along side many other printed works?
"['A) fast food restaurant', 'B) pizza', 'C) ground up dead cows', 'D) mouth', 'E) cow carcus']",A,Where are  you likely to find a hamburger?
"['A) midwest', 'B) countryside', 'C) estate', 'D) farming areas', 'E) illinois']",A,James was looking for a good place to buy farmland.  Where might he look?
"['A) own home', 'B) north carolina', 'C) great britain', 'D) hutch', 'E) outdoors']",C,What island country is ferret popular?
"[""A) mildred's coffee shop"", 'B) mexico', 'C) diner', 'D) kitchen', 'E) canteen']",B,In what Spanish speaking North American country can you get a great cup of coffee?
"['A) feel pleasure', 'B) procreate', 'C) pass water', 'D) listen to each other', 'E) sing']",D,What do animals do when an enemy is approaching?
"['A) literacy', 'B) knowing how to read', 'C) money', 'D) buying', 'E) money bank']",A,Reading newspaper one of many ways to practice your what?
"['A) cry', 'B) hear sounds', 'C) singing', 'D) arthritis', 'E) making music']",C,What do people typically do while playing guitar?
"['A) pants', 'B) record albums', 'C) record store', 'D) cheese', 'E) wallpaper']",E,What would vinyl be an odd thing to replace?
"['A) take time', 'B) make noise', 'C) make war', 'D) make peace', 'E) make haste']",D,"If you want harmony, what is something you should try to do with the world?"
"['A) farm house', 'B) barnyard', 'C) stockyard', 'D) slaughter house', 'E) eat cake']",A,Where does a heifer's master live?
"['A) bone', 'B) charm', 'C) petted', 'D) lots of attention', 'E) walked']",D,Aside from water and nourishment what does your dog need?
"['A) erection', 'B) laughter', 'C) being entertained', 'D) fear', 'E) bordem']",C,Janet was watching the film because she liked what?
"['A) motel', 'B) chair', 'C) hospital', 'D) people', 'E) hotels']",D,What are you waiting alongside with when you're in a reception area?
"['A) reach tentative agreement', 'B) stay in bed', 'C) stop bicycle', 'D) examine thing', 'E) suicide']",D,When drinking booze what can you do to stay busy?
"['A) injury', 'B) small cuts', 'C) fever', 'D) competition', 'E) puncture wound']",E,A fencing thrust with a sharp sword towards a person would result in what?
"['A) tongues', 'B) names', 'C) brains', 'D) feelings', 'E) two eyes']",E,"Unlike a spider and his many sight seers, people only have what?"
"['A) classroom', 'B) desk drawer', 'C) at school', 'D) office', 'E) kitchen drawer']",D,Where do adults use glue sticks?
