label,question
unfortunate,What is the antonym of this word? fortunate
local,What is the antonym of this word? express
nominal,What is the antonym of this word? real
rural,What is the antonym of this word? urban
flat,What is the antonym of this word? natural
weakness,What is the antonym of this word? strength
mask,What is the antonym of this word? unmask
illegitimate,What is the antonym of this word? legitimate
insanity,What is the antonym of this word? sanity
bowed,What is the antonym of this word? plucked
unprovocative,What is the antonym of this word? provocative
perishable,What is the antonym of this word? imperishable
legible,What is the antonym of this word? illegible
illogical,What is the antonym of this word? logical
vertical,What is the antonym of this word? inclined
compromising,What is the antonym of this word? uncompromising
antagonistic,What is the antonym of this word? synergistic
honest,What is the antonym of this word? dishonest
commissioned,What is the antonym of this word? noncommissioned
laity,What is the antonym of this word? clergy
speaking,What is the antonym of this word? nonspeaking
worthy,What is the antonym of this word? unworthy
convergence,What is the antonym of this word? divergence
naturally,What is the antonym of this word? unnaturally
negate,What is the antonym of this word? affirm
mitigated,What is the antonym of this word? unmitigated
export,What is the antonym of this word? import
decisive,What is the antonym of this word? indecisive
typical,What is the antonym of this word? atypical
oblique,What is the antonym of this word? nominative
modified,What is the antonym of this word? unmodified
disapprove,What is the antonym of this word? approve
change,What is the antonym of this word? stay
imperceptibly,What is the antonym of this word? perceptibly
unsuccessful,What is the antonym of this word? successful
unassisted,What is the antonym of this word? assisted
disabling,What is the antonym of this word? enabling
noninfectious,What is the antonym of this word? infectious
unreasonable,What is the antonym of this word? reasonable
reverence,What is the antonym of this word? irreverence
theoretical,What is the antonym of this word? empirical
modest,What is the antonym of this word? immodest
patience,What is the antonym of this word? impatience
attached,What is the antonym of this word? unattached
commensurate,What is the antonym of this word? incommensurate
male,What is the antonym of this word? female
truth,What is the antonym of this word? falsity
similar,What is the antonym of this word? dissimilar
incentive,What is the antonym of this word? disincentive
incurable,What is the antonym of this word? curable
dove,What is the antonym of this word? hawk
unguided,What is the antonym of this word? guided
inanimate,What is the antonym of this word? animate
christian,What is the antonym of this word? unchristian
egalitarian,What is the antonym of this word? elitist
incredulous,What is the antonym of this word? credulous
conception,What is the antonym of this word? misconception
congenial,What is the antonym of this word? uncongenial
sad,What is the antonym of this word? glad
unsuspected,What is the antonym of this word? suspected
wide,What is the antonym of this word? narrow
deceleration,What is the antonym of this word? acceleration
extension,What is the antonym of this word? flexion
malignant,What is the antonym of this word? benign
detach,What is the antonym of this word? attach
lock,What is the antonym of this word? unlock
unconcerned,What is the antonym of this word? concerned
lowland,What is the antonym of this word? highland
unenclosed,What is the antonym of this word? enclosed
obedient,What is the antonym of this word? disobedient
validate,What is the antonym of this word? invalidate
deductible,What is the antonym of this word? nondeductible
unmarried,What is the antonym of this word? married
please,What is the antonym of this word? displease
depression,What is the antonym of this word? elation
compliance,What is the antonym of this word? noncompliance
ancestor,What is the antonym of this word? descendant
cathode,What is the antonym of this word? anode
mature,What is the antonym of this word? immature
advance,What is the antonym of this word? recede
burden,What is the antonym of this word? unburden
illness,What is the antonym of this word? wellness
opposite,What is the antonym of this word? alternate
extended,What is the antonym of this word? unextended
unfairness,What is the antonym of this word? fairness
unsurprised,What is the antonym of this word? surprised
consistency,What is the antonym of this word? inconsistency
ventral,What is the antonym of this word? dorsal
evergreen,What is the antonym of this word? deciduous
exit,What is the antonym of this word? enter
noble,What is the antonym of this word? ignoble
flora,What is the antonym of this word? fauna
below,What is the antonym of this word? above
disagreement,What is the antonym of this word? agreement
inspiring,What is the antonym of this word? uninspiring
underprivileged,What is the antonym of this word? privileged
veiled,What is the antonym of this word? unveiled
head,What is the antonym of this word? tail
properly,What is the antonym of this word? improperly
lightness,What is the antonym of this word? darkness
