prompt,response,ground_truth
" For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ","To find out how many pieces of candy are left, we need to subtract the number of pieces eaten from the total number of pieces.

Debby's sister had 32 + 42 = 74 pieces of candy.
They ate 35 pieces together.

So, 74 - 35 = 39. They have 39 pieces of candy left.",39
 A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,"To find out how many cats the pet store has left, we need to subtract the number of cats sold from the total number of cats.

The pet store initially had 13 siamese cats and 5 house cats.
Total initial cats = 13 + 5 = 18

They sold 10 cats during the sale.
Remaining cats = Total initial cats - Cats sold
= 18 - 10
= 8",8
" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ","Luke started with 0 good games. After buying 2 games from a friend, he had 0 + 2 = 2 good games. Then, after buying 2 more at a garage sale, he had 2 - 2 = 0 good games left. So, Luke ended up with 0 good games.",2
" The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ","To find out how many extra apples the cafeteria ended up with, we need to subtract the number of students who wanted fruit from the total number of apples ordered.

Total apples = 42 (red) + 7 (green) = 49
Students wanting fruit = 9

Extra apples = Total apples - Students wanting fruit
= 49 - 9
= 40",40
" Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ","To find out how many extra flowers Lana picked, we need to subtract the number of flowers she actually used from the total number of flowers she picked.

Total flowers = 36 (tulips) + 37 (roses)
Total flowers = 73

Number of flowers used = 70

Extra flowers = Total flowers - Number of flowers used
Extra flowers = 73 - 70
Extra flowers = 3",3
" Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ","To find out how many bad carrots there were, we need to subtract the number of good carrots from the total number of carrots.

Number of good carrots = 38
Number of carrots picked by Carol and her mom = 29 + 16 = 45

Now, let's subtract the number of good carrots from the total:

45 (total) - 38 (good) = 7

So, there were 7 bad carrots.",7
 Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,"To find out how much money Roger has now, we need to subtract the amount he spent from the initial amount and then add the additional amount he received.

Initial amount: $16
Additional amount: $28
Amount spent: $25

First, let's subtract the amount spent from the initial amount:
$16 - $25 = -$9

Then, let's add the additional amount to the result:
-$9 + $28 = $19

So, Roger now has $19.",19
" While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ","To find out how many pictures Megan had left after deleting some, we need to subtract the number of pictures she deleted from the total number of pictures she took.

She took 15 pictures at the zoo and 18 at the museum. 

Total pictures taken = 15 + 18 = 33

After deleting 31 pictures, she has:

33 - 31 = 2",2
 Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,"To find out how many pictures Rachel has left to color, we need to subtract the number of pictures she's already colored from the total number of pictures.

She bought two coloring books with 23 and 32 pictures respectively.
Total pictures = 23 + 32 = 55
Pictures already colored = 44

Now, let's subtract the number of pictures already colored from the total:
55 - 44 = 11",11
" Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ","To find out how many shirts Ned didn't wash, we need to subtract the number of shirts he actually washed from the total number of shirts.

Total shirts = short sleeve shirts + long sleeve shirts
= 9 + 21
= 30

Number of shirts washed = 29

Number of shirts not washed = Total shirts - Number of shirts washed
= 30 - 29
= 1",1
" Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ","To find out how many shirts Oliver didn't wash, we need to add the number of short sleeve shirts and long sleeve shirts.

Short sleeve shirts: 39
Long sleeve shirts: 47
Total shirts = 39 + 47 = 86

Oliver washed 20 shirts. To find out how many he didn't wash, subtract 20 from the total:

86 - 20 = 66",66
 For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,"To find out how many pastries Wendy sold, we need to subtract the number of pastries she took back home from the total number of pastries she made.

She made 4 cupcakes and 29 cookies, for a total of 4 + 29 = 33 pastries.

After taking some back home, she had 24 left. To find out how many she sold, we subtract:

33 (total pastries) - 24 (pastries taken back home) = 9

So Wendy sold 9 pastries.",9
" While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ","Debby started with 24 pictures at the zoo and 12 at the museum. She then deleted 14 pictures. To find out how many pictures she had left, we need to subtract the number of pictures she deleted from the total number of pictures she took.

First, let's add the number of pictures she took at the zoo and the museum: 
24 (zoo) + 12 (museum) = 36

Now, let's subtract the number of pictures she deleted:
36 - 14 = 22

So, Debby had 22 pictures from her vacation left.",22
" Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ","To find out how many extra flowers Katie picked, we need to subtract the number of flowers she actually used from the total number of flowers she picked.

Total flowers picked = 3 (tulips) + 9 (roses)
= 12

Number of flowers used = 10

Extra flowers = Total flowers picked - Number of flowers used
= 12 - 10
= 2",2
" Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ","To find out how many problems Faye had left to do for homework, we need to subtract the number of problems she completed from the total number of math and science problems.

First, let's add the number of math and science problems:
46 (math) + 9 (science) = 55

Now, let's subtract the number of problems Faye completed at school:
55 - 40 = 15

So, Faye had to do 15 homework problems.",15
" Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ","To find out how many files are still on Amy's flash drive, we need to subtract the number of files she deleted from the total number of files.

Total files = Music files + Video files
= 4 + 21
= 25

Files deleted = 23

Files remaining = Total files - Files deleted
= 25 - 23
= 2",2
" Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ","Ned started with an unknown number of good games. He bought 11 games from a friend and 22 more at a garage sale. 

The total number of games he bought is 11 + 22 = 33.

He also had 19 games that didn't work, so we need to subtract those from the total:

33 - 19 = 14

So Ned ended up with 14 good games.",14
 Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? ,"To find out how many points Chloe had at the end of the game, we need to add up all her scores.

Round 1: 40 points
Round 2: 50 points
Round 3 (lost): -4 points

So, let's calculate:

40 + 50 = 90
90 + (-4) = 86

Chloe had 86 points at the end of the game.",86
" At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ","To find out how many tickets Tom has left, we need to subtract the number of tickets he spent from the total number of tickets he won.

Tom won 32 tickets and spent 7 tickets. 

So, 32 - 7 = 25

Therefore, Tom has 25 tickets left.",50
" Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ","To find out how many bad carrots there were, we need to subtract the number of good carrots from the total number of carrots.

Bianca's mom picked 26 carrots and Bianca picked 15. So, in total, they picked 26 + 15 = 41 carrots.

Since only 16 of these carrots are good, we can find out how many bad carrots there are by subtracting 16 from the total number of carrots:

41 - 16 = 25

So, Bianca and her mom have 25 bad carrots.",25
 For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? ,"To find out how many pastries Katie sold, we need to add the number of cupcakes and cookies she baked.

Number of cupcakes: 7
Number of cookies: 5

Total number of pastries: 7 + 5 = 12

So, Katie sold 12 pastries.",4
 Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? ,"To find out how many pictures Zoe still has to color, we need to subtract the number of pictures she's already colored from the total number of pictures.

She bought two coloring books with 44 pictures each, so in total there are 2 * 44 = 88 pictures.

She's already colored 20 pictures. To find out how many she still needs to color, we subtract:

88 - 20 = 68

So Zoe has 68 pictures left to color.",68
" John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? ","John started with 21 + 8 = 29 games. Then he had 23 games that didn't work. To find out how many good games he ended up with, we need to subtract the number of non-working games from the total.

29 (total games) - 23 (non-working games) = 6

So John ended up with 6 good games.",6
 Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? ,"To find out how much money Henry has now, we need to subtract the amount he spent from the initial amount and then add the additional amount he received.

Initial amount: $11
Additional amount: $18
Amount spent: $10

First, let's subtract the amount spent from the initial amount:
$11 - $10 = $1

Then, let's add the additional amount to the result:
$1 + $18 = $19

So, Henry now has $19.",19
" While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? ","To find out how many pictures Gwen had left after deleting some, we need to subtract the number of pictures she deleted from the total number of pictures she took.

She took 41 pictures at the zoo and 29 at the museum. 

Total pictures = 41 (zoo) + 29 (museum)
Total pictures = 70

She deleted 15 pictures. 

Pictures left = Total pictures - Pictures deleted
Pictures left = 70 - 15
Pictures left = 55",55
" Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ","To find out how many shirts Sam didn't wash, we need to subtract the number of shirts he actually washed from the total number of shirts.

Total shirts = short sleeve shirts + long sleeve shirts
= 40 + 23
= 63

Number of shirts washed by school start = 29

Shirts not washed = Total shirts - Number of shirts washed
= 63 - 29
= 34",34
 A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? ,"To find out how many cats the pet store has left, we need to subtract the number of cats sold from the total number of cats.

The pet store initially had 12 siamese cats and 20 house cats.
Total initial cats = 12 + 20 = 32

They sold 20 cats during the sale.
Cats left = Total initial cats - Cats sold
= 32 - 20
= 12",12
" Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? ","To find out how many bad carrots there were, we need to subtract the number of good carrots from the total number of carrots.

Total carrots = Faye's carrots + Mother's carrots
= 23 + 5
= 28

Number of good carrots = 12

Bad carrots = Total carrots - Number of good carrots
= 28 - 12
= 16",16
" The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? ","To find out how many extra apples the cafeteria ended up with, we need to subtract the number of apples taken by the 2 students from the total number of apples ordered.

Total apples = 43 (red) + 32 (green) = 75
Apples taken by students = 2

Extra apples = Total apples - Apples taken by students
= 75 - 2
= 73",73
" There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ","To find the number of students who didn't make the cut, we need to subtract the number of students who got called back from the total number of students.

Number of girls: 39
Number of boys: 4
Total number of students: 39 + 4 = 43

Number of students who got called back: 26

Now, let's calculate the number of students who didn't make the cut:

Number of students who didn't make the cut: Total number of students - Number of students who got called back
= 43 - 26
= 17",17
