0,1,2
"Example({'response': 39, 'question': ' For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='Debby had 32 pieces of candy and her sister had 42. Together they had \\(32 + 42 = 74\\) pieces of candy. After eating 35 pieces, the number of candies left is \\(74 - 35\\).',
    response=69.0
)",False
"Example({'response': 8, 'question': ' A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='The pet store initially had 13 Siamese cats and 5 house cats, which totals to 18 cats. After selling 10 cats, we need to find out how many cats are left.',
    response=6.0
)",False
"Example({'response': 2, 'question': "" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    reasoning=""Luke initially bought 4 games in total. Out of these, 2 didn't work properly. Therefore, to find out how many good games he ended up with, we need to subtract the number of non-working games from the total number of games."",
    response=3.0
)",False
"Example({'response': 40, 'question': ' The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? '}) (input_keys={'question'})","Prediction(
    reasoning='To determine how many extra apples the cafeteria ended up with, we first need to calculate the total number of apples ordered. The order included 42 red apples and 7 green apples. After that, we subtract the number of students who wanted fruit (9) from the total number of apples to find out how many were left over.',
    response=31.0
)",False
"Example({'response': 3, 'question': ' Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? '}) (input_keys={'question'})","Prediction(
    reasoning='To determine how many extra flowers Lana picked, we first need to calculate the total number of flowers she initially picked. This is the sum of tulips and roses. After that, we subtract the 70 flowers used in making bouquets from the total number of flowers picked.\n\nThe initial total number of flowers is \\(36 + 37\\). The extra flowers are calculated as \\((36 + 37) - 70\\).',
    response=0.0
)",False
"Example({'response': 7, 'question': ' Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how many bad carrots Carol and her mother picked, we first need to calculate the total number of carrots they picked together. Then, we subtract the number of good carrots from this total.\n\nGiven:\n- Number of carrots Carol picked: 29\n- Number of carrots her mother picked: 16\n- Total number of good carrots: 38\n\nThe calculation for the total number of carrots is \\(29 + 16\\). After finding the total, we subtract the number of good carrots from this total to find out how many bad carrots there were.\n\nLet's perform these calculations."",
    response=0.0
)",False
"Example({'response': 19, 'question': ' Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? '}) (input_keys={'question'})","Prediction(
    reasoning='Roger initially had $16. He received an additional $28 for his birthday, bringing his total to $44. After spending $25 on a new game, we need to subtract this amount from his current total.\n\nWe can calculate the final amount of money Roger has now by performing these calculations.',
    response=17.0
)",False
"Example({'response': 2, 'question': ' While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='Megan initially took 15 pictures at the zoo and 18 at the museum, which totals to 33 pictures. After deleting 31 of them, we need to find out how many pictures she still has.\n\nTo calculate this, we subtract the number of deleted pictures from the total initial number of pictures: \\(33 - 31 = 2\\).',
    response=2.0
)",True
"Example({'response': 11, 'question': ' Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? '}) (input_keys={'question'})","Prediction(
    reasoning='Rachel started with a total of 23 + 32 = 55 pictures. After coloring 44 pictures, she still has 55 - 44 = 11 pictures left to color.',
    response=11.0
)",True
"Example({'response': 1, 'question': ' Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning='To determine how many shirts Ned did not wash, we need to subtract the number of shirts he washed from the total number of shirts he had to wash. The total number of shirts is the sum of short sleeve and long sleeve shirts.\n\nNed had 9 short sleeve shirts and 21 long sleeve shirts, so the total number of shirts is \\(9 + 21 = 30\\). He washed 29 shirts by the time school started. Therefore, the number of shirts he did not wash is \\(30 - 29\\).',
    response=3.0
)",False
"Example({'response': 66, 'question': ' Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how many shirts Oliver did not wash, we need to calculate the total number of shirts he had to wash initially and subtract the number of shirts he washed. The initial count includes 39 short sleeve shirts and 47 long sleeve shirts.\n\nThe total number of shirts is \\(39 + 47\\). Given that he washed 20 shirts, we can find out how many shirts were not washed by subtracting the number of washed shirts from the total number of shirts.\n\nLet's calculate this."",
    response=18.0
)",False
"Example({'response': 9, 'question': ' For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many pastries Wendy sold, we first need to calculate the total number of baked items. She baked 4 cupcakes and 29 cookies, which gives us 33 baked items in total. After the sale, she had 24 items left. The difference between the total baked items and the remaining items is the number of pastries sold.',
    response=8.0
)",False
"Example({'response': 22, 'question': ' While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='Debby initially took 24 pictures at the zoo and 12 pictures at the museum, which totals to \\(24 + 12 = 36\\) pictures. After deleting 14 of them, she would have \\(36 - 14\\) pictures remaining.\n\nTo find out how many pictures Debby still has from her vacation, we need to perform the calculation: \\(36 - 14\\).',
    response=32.0
)",False
"Example({'response': 2, 'question': ' Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? '}) (input_keys={'question'})","Prediction(
    reasoning='Katie picked a total of 3 + 9 = 12 flowers. If she only used 10 of them, the number of extra flowers is 12 - 10.',
    response=2.0
)",True
"Example({'response': 15, 'question': ' Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? '}) (input_keys={'question'})","Prediction(
    reasoning='Faye had 46 math problems and 9 science problems, which totals to 55 problems. She finished 40 of these at school. Therefore, she has \\(55 - 40 = 15\\) problems left for homework.',
    response=15.0
)",True
"Example({'response': 2, 'question': ' Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? '}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how many files are still on Amy's flash drive after deleting 23 of them, we need to first calculate the total number of files initially present. This is the sum of music files (4) and video files (21). After that, subtracting the deleted files (23) from this total will give us the remaining files."",
    response=6.0
)",False
"Example({'response': 14, 'question': "" Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how many good games Ned ended up with, we need to follow these steps:\n\n1. Calculate the total number of games Ned bought: 11 from a friend plus 22 from a garage sale.\n2. Subtract the number of non-working games (19) from the total number of games to find out how many working games he has.\n\nLet's do this step by step:\n- Total games = 11 + 22\n- Working games = Total games - 19"",
    response=4.0
)",False
"Example({'response': 86, 'question': ' Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? '}) (input_keys={'question'})","Prediction(
    reasoning=""To determine Chloe's total score at the end of the game, we need to add her points from each round. In the first round she scored 40 points, in the second round she scored 50 points, and in the last round she lost 4 points (which can be represented as -4). The total score is therefore: \\(40 + 50 - 4\\)."",
    response=66.0
)",False
"Example({'response': 50, 'question': "" At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ""}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how many tickets Tom has left after spending some on a hat, we first need to calculate the total number of tickets he won. He won 32 tickets from 'whack a mole' and 25 tickets from 'skee ball'. After adding these together, we subtract the 7 tickets he spent on a hat."",
    response=40.0
)",False
"Example({'response': 25, 'question': ' Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    reasoning='To determine how many bad carrots Bianca and her mother picked, we first need to calculate the total number of carrots they picked together. Then, we subtract the number of good carrots from this total.\n\nGiven:\n- Number of carrots picked by Bianca: 26\n- Number of carrots picked by her mother: 15\n- Total number of good carrots: 16\n\nWe can find the total number of carrots picked and then calculate the bad ones using these values.',
    response=0.38461538461538464
)",False
"Example({'response': 4, 'question': ' For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many pastries Katie sold, we need to first calculate the total number of baked items. She baked 7 cupcakes and 5 cookies, which totals to 12 items. After the sale, she had 8 left over. Therefore, the number of pastries sold is the difference between the total baked items and the leftover items.',
    response=4.0
)",True
"Example({'response': 68, 'question': ' Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? '}) (input_keys={'question'})","Prediction(
    reasoning='To determine how many pictures Zoe still has to color, we first need to calculate the total number of pictures in both coloring books. Then, subtract the number of pictures she has already colored.\n\nZoe bought two coloring books with 44 pictures each, so the total number of pictures is \\(44 + 44 = 88\\). She has already colored 20 pictures, therefore we need to subtract this from the total number of pictures. \n\n\\[ \\text{Pictures left} = \\text{Total Pictures} - \\text{Colored Pictures} = 88 - 20 \\]',
    response=58.0
)",False
"Example({'response': 6, 'question': "" John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how many good games John ended up with, we need to follow these steps:\n\n1. Calculate the total number of games he bought: 21 from his friend plus 8 at a garage sale.\n2. Subtract the number of non-working games (23) from the total number of games.\n\nLet's perform these calculations:\n- Total games = 21 + 8\n- Good games = Total games - 23"",
    response=4.0
)",False
"Example({'response': 19, 'question': ' Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? '}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how much money Henry has now, we need to follow these steps:\n1. Start with his initial amount of $11.\n2. Add the birthday money he received: $18.\n3. Subtract the cost of the new game: $10.\n\nLet's calculate this step by step:\n\n- Initial amount: $11\n- After receiving birthday money: $11 + $18 = $29\n- After buying a game: $29 - $10 = $19\n\nSo, Henry now has $19."",
    response=19.0
)",True
"Example({'response': 55, 'question': ' While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='Gwen initially took 41 pictures at the zoo and 29 pictures at the museum, which totals to \\(41 + 29 = 70\\) pictures. After deleting 15 of these pictures, she would have \\(70 - 15\\) pictures left.',
    response=65.0
)",False
"Example({'response': 34, 'question': ' Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning='To determine how many shirts Sam did not wash, we need to subtract the number of shirts he washed from the total number of shirts. The total number of shirts is the sum of short sleeve shirts and long sleeve shirts.\n\nFirst, calculate the total number of shirts:\n- Total shirts = 40 (short sleeve) + 23 (long sleeve)\n\nThen, find out how many shirts Sam did not wash by subtracting the number he washed from the total number of shirts.',
    response=18.0
)",False
"Example({'response': 12, 'question': ' A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how many cats are left in the pet store, we need to follow these steps:\n\n1. Calculate the total number of cats initially: 12 siamese cats + 20 house cats.\n2. Subtract the number of cats sold (20) from the initial total.\n\nLet's perform these calculations:\nTotal cats initially = 12 + 20\nCats left after sale = Total cats initially - 20"",
    response=4.0
)",False
"Example({'response': 16, 'question': ' Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how many bad carrots Faye and her mother picked, we first need to calculate the total number of carrots they picked together. Then, we subtract the number of good carrots from this total.\n\nFaye picked 23 carrots, and her mom picked 5. Therefore, the total number of carrots is \\(23 + 5\\). Given that only 12 of these were good, the rest must be bad.\n\nLet's calculate the number of bad carrots."",
    response=0.4
)",False
"Example({'response': 73, 'question': ' The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? '}) (input_keys={'question'})","Prediction(
    reasoning='To determine how many extra apples the cafeteria ended up with, we first need to calculate the total number of apples ordered. The cafeteria ordered 43 red apples and 32 green apples. After that, we subtract the number of students who wanted fruit (which is 2) from the total number of apples.',
    response=17.0
)",False
