label,question,choices
alligator,Which of these animals is the larger one?,"['mirror carp', 'alligator']"
baboons,Which of these animals is the larger one?,"['baboons', 'hamster']"
shih tzu,Which of these animals is the larger one?,"['shih tzu', 'ant']"
salmon,Which of these animals is the larger one?,"['hamster', 'salmon']"
cod,Which of these animals is the larger one?,"['cod', 'bobcat']"
baboons,Which of these animals is the larger one?,"['baboons', 'ant']"
giant squid,Which of these animals is the larger one?,"['giant squid', 'baboons']"
reindeer,Which of these animals is the larger one?,"['reindeer', 'cod']"
owl,Which of these animals is the larger one?,"['hamster', 'owl']"
penguin,Which of these animals is the larger one?,"['hamster', 'penguin']"
walrus,Which of these animals is the larger one?,"['shih tzu', 'walrus']"
blue whale,Which of these animals is the larger one?,"['pomeranian', 'blue whale']"
penguin,Which of these animals is the larger one?,"['penguin', 'ant']"
border collie,Which of these animals is the larger one?,"['border collie', 'ant']"
walrus,Which of these animals is the larger one?,"['walrus', 'baboons']"
blue whale,Which of these animals is the larger one?,"['blue whale', 'shih tzu']"
brown bear,Which of these animals is the larger one?,"['border collie', 'brown bear']"
humpback whale,Which of these animals is the larger one?,"['bobcat', 'humpback whale']"
german shepherd,Which of these animals is the larger one?,"['penguin', 'german shepherd']"
brown bear,Which of these animals is the larger one?,"['bobcat', 'brown bear']"
walrus,Which of these animals is the larger one?,"['mirror carp', 'walrus']"
brown bear,Which of these animals is the larger one?,"['hamster', 'brown bear']"
reindeer,Which of these animals is the larger one?,"['reindeer', 'sheep']"
penguin,Which of these animals is the larger one?,"['pomeranian', 'penguin']"
giant squid,Which of these animals is the larger one?,"['sheep', 'giant squid']"
mirror carp,Which of these animals is the larger one?,"['ant', 'mirror carp']"
anaconda,Which of these animals is the larger one?,"['penguin', 'anaconda']"
rottweiler,Which of these animals is the larger one?,"['rottweiler', 'penguin']"
border collie,Which of these animals is the larger one?,"['owl', 'border collie']"
anaconda,Which of these animals is the larger one?,"['anaconda', 'ant']"
rottweiler,Which of these animals is the larger one?,"['northern pike', 'rottweiler']"
border collie,Which of these animals is the larger one?,"['border collie', 'penguin']"
brown bear,Which of these animals is the larger one?,"['ant', 'brown bear']"
reindeer,Which of these animals is the larger one?,"['bobcat', 'reindeer']"
shih tzu,Which of these animals is the larger one?,"['hamster', 'shih tzu']"
humpback whale,Which of these animals is the larger one?,"['penguin', 'humpback whale']"
baboons,Which of these animals is the larger one?,"['bobcat', 'baboons']"
