prompt,response,ground_truth
" For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ","To find the total number of pieces of candy they have left, we simply add the number of pieces Debby and her sister had:

32 + 42 = 74

Therefore, Debby and her sister have 74 pieces of candy left after eating 35 pieces the first night.",39
 A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,"The pet store had 13 Siamese cats and 5 house cats. So, 13 + 5 = 18 cats. After the sale, they sold 10 cats, so they have 18 - 10 = 8 cats left.",8
" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ","Luke bought 2 games from a friend and bought 2 more at a garage sale. So, he ended up with 2 + 2 = 4 good games.",2
" The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ","Sure. To calculate the number of extra apples the cafeteria ended up with, we need to subtract the number of students who wanted fruit from the total number of apples ordered.

In this case, 42 apples were ordered, and 9 students wanted fruit.

Therefore, the number of extra apples the cafeteria ended up with was:

42 apples - 9 apples = 33 apples

So, the cafeteria ended up with 33 extra apples.",40
" Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ","Lana picked 36 + 37 = 73 flowers. If she only used 70 of the flowers, she picked 70 - 36 = 34 extra flowers.",3
" Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ","Carol picked 29 and her mother picked 16, so they picked a total of 29 + 16 = 45 carrots. If only 38 of the carrots were good, then 45 - 38 = 7 bad carrots.",7
 Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,"Roger had 16 dollars. 

He got 28 more dollars, so he had 16 + 28 = 44 dollars.

He spent 25 on a new game, so he had 44 - 25 = 19 dollars.

Therefore, Roger has 19 dollars now.",19
" While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",Megan still had 15 + 18 - 31 = 22 pictures from her vacation.,2
 Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,"Rachel has already colored 44 pictures, so she still needs to color 23 + 32 - 44 = 13 pictures.",11
" Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ","Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, then 9 + 21 = 29 shirts he did not wash.",1
" Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",Oliver had to wash 39 - 20 = 19 shirts before school started.,66
 For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,"Wendy baked 4 cupcakes and 29 cookies. So, she sold 4 + 29 = 33 pastries.",9
" While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",Debby still had 24 - 14 = 10 pictures from her vacation.,22
" Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ","Katie picked 3 tulips and 9 roses. If she only used 10 of the flowers, she picked 3 + 9 - 10 = 4 extra flowers.",2
" Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ","Faye finished 40/46 = 0.85 times as many math problems as she had science problems. So, she had 9 * 0.85 = 7.95 science problems to do for homework.",15
" Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ","Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, she would have 4 - 23 = 21 files left on her flash drive.",2
" Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ","Ned bought 11 games from a friend and bought 22 more at a garage sale, so he bought 11 + 22 = 33 games. 

If 19 of the games didn't work, then 11 + 22 - 19 = 11 games were good.",14
 Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? ,"Chloe scored 40 points in the first round, 50 points in the second round, and lost 4 points in the last round. 

Therefore, her total points at the end of the game were 40 + 50 - 4 = 90 points.",86
" At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ","Tom won 32 + 25 = 57 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. He spent 7 tickets on a hat, so he has 57 - 7 = 50 tickets left.",50
" Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ","If only 16 of the carrots were good, then 26 - 15 = 11 were bad.",25
 For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? ,"Katie baked 7 cupcakes and 5 cookies. So, she sold 7 + 5 = 12 pastries.",4
 Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? ,Zoe still needs to color 44 - 20 = 24 pictures.,68
" John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? ","John bought 21 games from a friend and bought 8 more at a garage sale, so he bought 21 + 8 = 29 games. If 23 of the games didn't work, he ended up with 29 - 23 = 6 good games.",6
 Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? ,"Henry had 11 dollars. 

He got 18 more dollars, so he had 11 + 18 = 29 dollars.

He spent 10 on a new game, so he had 29 - 10 = 19 dollars.

Therefore, Henry has 19 dollars now.",19
" While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? ","Gwen still had 29 pictures from her vacation. After deleting 15 pictures, she still had 29 - 15 = 14 pictures from her vacation.",55
" Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",Sam had to wash 40 - 29 = 11 shirts before school started.,34
 A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? ,"The pet store had 12 Siamese cats and 20 house cats. They sold 20 cats, so they have 12 + 20 - 20 = 12 cats left.",12
" Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? ","Faye picked 23 carrots and her mom picked 5, so they had 23 - 5 = 18 bad carrots.",16
" The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? ","Sure, here's the solution:

If 43 red apples and 32 green apples were ordered for students' lunches, a total of 75 apples were ordered.

If only 2 students wanted fruit, 2 apples were chosen.

Therefore, the cafeteria ended up with 75 - 2 = 73 extra apples.",73
" There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ","There were 39 girls and 4 boys trying out for the school's basketball team. If only 26 of them got called back, there were 39 - 26 = 13 students who didn't make the cut.",17
 A pet store had 38 siamese cats and 25 house cats. During a sale they sold 45 cats. How many cats do they have left? ,"The pet store had 38 Siamese cats and 25 house cats. So, 45 cats were sold, leaving them with 38 + 25 - 45 = 23 cats.",18
 For the school bake sale Paige made pastries. She baked 36 cupcakes and 9 cookies. After the sale she had 4 to take back home. How many pastries did she sell? ,"Paige baked 36 cupcakes and 9 cookies. So, she sold 36 + 9 = 45 pastries.",41
 Carol was playing a trivia game. In the first round she scored 17 points and in the second round she scored 6 points. In the last round she lost 16 points. How many points did she have at the end of the game? ,"Carol scored 17 points in the first round, 6 points in the second round, and lost 16 points in the last round. 

Therefore, her total points at the end of the game were 17 + 6 - 16 = 17 points.",7
 Gwen bought two coloring books. One had 10 pictures and the other had 39. After one week she had already colored 13 of the pictures. How many pictures does she still have to color? ,"Gwen has already colored 13 pictures, so she still needs to color 10 - 13 = 7 pictures. 

Therefore, Gwen still has 7 pictures to color.",36
" For Halloween Janet and her sister combined the candy they received. Janet had 34 pieces of candy while her sister had 33. If they ate 4 pieces the first night, how many pieces do they have left? ","Since Janet and her sister ate 4 pieces on the first night, they ate a total of 34 + 33 = 67 pieces of candy.

Therefore, they have 67 - 4 = 63 pieces of candy left.",63
" Haley and her mom were picking carrots from their garden. Haley picked 39 and her mother picked 38. If only 64 of the carrots were good, how many bad carrots did they have? ","If 39 carrots were good, and 38 were good, then 64 were bad.",13
" There were 30 girls and 36 boys trying out for the schools basketball team. If only 10 of them got called back, how many students didn't make the cut? ","There were 30 girls and 36 boys trying out for the school's basketball team. If only 10 of them got called back, there were 30 - 10 = 20 students who didn't make the cut.",56
 Roger had 29 dollars. For his birthday he got 20 more dollars but spent 34 on a new game. How much money does he have now? ,"Roger had 29 dollars. 

He got 20 more dollars, so he had 29 + 20 = 49 dollars. 

He spent 34 on a new game, so he had 49 - 34 = 15 dollars. 

Therefore, Roger has 29 + 20 - 15 = 29 dollars now.",15
" Dave had to wash 29 short sleeve shirts and 11 long sleeve shirts before school. If he had only washed 35 of them by the time school started, how many did he not wash? ","Dave washed 29 - 11 = 18 shirts by the time school started. Therefore, he washed 35 - 18 = 17 shirts by the time school started.",5
" Edward was trying to expand his game collection. He bought 41 games from a friend and bought 14 more at a garage sale. If 31 of the games didn't work, how many good games did he end up with? ","Edward bought 41 games from a friend and bought 14 more at a garage sale, so he bought 55 games in total. If 31 of the games didn't work, he ended up with 55 - 31 = 24 good games.",24
" At the schools book fair Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, how many new books did he buy? ","Sure. To find the number of new books Sam bought, we need to subtract the number of books he bought from the total number of books he bought. 

Sam bought 13 adventure books and 17 mystery books, so he bought 13 + 17 = 30 books in total. 

If 15 of the books were used, then 15 books were taken out of the total number of books. 

Therefore, Sam bought 30 - 15 = 15 new books.",15
" Amy had 26 music files and 36 video files on her flash drive. If she deleted 48 of the files, how many files were still on her flash drive? ",Amy had 26 - 48 = 28 music files and 36 - 48 = 38 video files left on her flash drive.,14
 Oliver had 35 dollars. For his birthday he got 50 more dollars but spent 84 on a new game. How much money does he have now? ,"Sure. Here's the calculation:

Starting amount: 35 dollars

Increase from birthday gift: 50 dollars

Amount spent on game: 84 dollars

New amount = Starting amount + Increase - Amount spent

= 35 + 50 - 84

= 15 dollars

Therefore, Oliver has 15 dollars now.",1
 Emily was playing a trivia game. In the first round she scored 16 points and in the second round she scored 33 points. In the last round she lost 48 points. How many points did she have at the end of the game? ,"Emily scored 16 points in the first round, 33 points in the second round, and lost 48 points in the last round. 

Therefore, her total points at the end of the game were 16 + 33 - 48 = 13 points.",1
" Paige had 43 math problems and 12 science problems for homework. If she finished 44 of the problems at school, how many problems did she have to do for homework? ","Paige finished 44 of the 43 math problems and 12 science problems, so she had to do 43 - 12 = 31 problems for homework.",11
