0,1,2
"Example({'response': 39, 'question': ' For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='The total number of candies is 32 (Debby) + 42 (sister) = 74. After eating 35, the remaining candies are 74 - 35 = 39.',
    response=39.0
)",True
"Example({'response': 8, 'question': ' A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='The pet store initially had a total of 13 Siamese cats and 5 House cats, which adds up to 18 cats. After selling 10 cats during the sale, the remaining number of cats is calculated by subtracting the sold cats from the initial total: 18 - 10 = 8.',
    response=8.0
)",True
"Example({'response': 2, 'question': "" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    reasoning=""Luke bought a total of 4 games, but 2 of them didn't work. Therefore, he ended up with 2 good games."",
    response=2.0
)",True
"Example({'response': 40, 'question': ' The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? '}) (input_keys={'question'})","Prediction(
    reasoning='The cafeteria ordered a total of 42 red apples and 7 green apples, making a total of 49 apples. If only 9 students wanted fruit, each student would receive one apple, using up 9 apples in total. Subtracting the 9 used from the 49 available leaves 40 extra apples.',
    response=40.0
)",True
"Example({'response': 3, 'question': ' Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? '}) (input_keys={'question'})","Prediction(
    reasoning='Lana picked a total of 36 tulips and 37 roses, which adds up to 73 flowers. She only used 70 of these, so the number of extra flowers is calculated by subtracting the ones she used from the total: 73 - 70 = 3.',
    response=3.0
)",True
"Example({'response': 7, 'question': ' Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    reasoning='Carol and her mom picked a total of 45 carrots. With 38 being good, there were 7 bad carrots.',
    response=7.0
)",True
"Example({'response': 19, 'question': ' Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? '}) (input_keys={'question'})","Prediction(
    reasoning='Roger started with 16 dollars and received an additional 28 dollars for his birthday. This adds up to a total of 44 dollars. After spending 25 dollars on a new game, the remaining amount is calculated by subtracting 25 from 44, resulting in 19 dollars.',
    response=19.0
)",True
"Example({'response': 2, 'question': ' While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='Megan took a total of 15 pictures at the zoo and 18 at the museum, which adds up to 33 pictures in total. After deleting 31 pictures, she is left with 2 pictures.',
    response=2.0
)",True
"Example({'response': 11, 'question': ' Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? '}) (input_keys={'question'})","Prediction(
    reasoning='Rachel bought two coloring books with a total of 23 + 32 = 55 pictures. She colored 44 of them after one week, so she still needs to color 55 - 44 = 11 pictures.',
    response=11.0
)",True
"Example({'response': 1, 'question': ' Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning=""Ned had a total of 9 short sleeve shirts and 21 long sleeve shirts to wash, which adds up to 30 shirts in total. By the time school started, he had only washed 29 of them. To find out how many he didn't wash, we subtract the number he did wash from the total:  \n30 (total shirts) - 29 (shirts washed) = 1 shirt not washed."",
    response=1.0
)",True
