0,1,2
"Example({'response': 39, 'question': ' For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning=""To find out how many pieces are left, we need to subtract the number of pieces eaten from the total number of pieces.\n\nTotal pieces = Debby's pieces + Sister's pieces\n= 32 + 42\n= 74\n\nPieces eaten = 35\n\nPieces left = Total pieces - Pieces eaten\n= 74 - 35\n= 39"",
    response=39.0
)",True
"Example({'response': 8, 'question': ' A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many cats the pet store has left, we need to subtract the number of cats sold from the total number of cats initially present.\n\nTotal cats = 13 (siamese) + 5 (house) = 18\nCats sold = 10\n\nCats left = Total cats - Cats sold\n= 18 - 10\n= 8',
    response=8.0
)",True
"Example({'response': 2, 'question': "" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    reasoning=""To find out how many good games Luke ended up with, we need to subtract the number of non-working games from the total number of games.\n\nLuke bought 4 games in total (2 from a friend and 2 at a garage sale).\nOut of these 4 games, 2 didn't work.\nSo, the number of good games is: 4 - 2 = 2"",
    response=2.0
)",True
"Example({'response': 40, 'question': ' The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? '}) (input_keys={'question'})","Prediction(
    reasoning='The cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with?',
    response=35.0
)",False
"Example({'response': 3, 'question': ' Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many extra flowers Lana picked, we need to subtract the number of flowers she actually used (70) from the total number of flowers she picked initially (36 + 37 = 73).',
    response=0.27
)",False
"Example({'response': 7, 'question': ' Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many bad carrots they had, we need to subtract the number of good carrots from the total number of carrots. So, 45 - 38 = 7.',
    response=7.0
)",True
"Example({'response': 19, 'question': ' Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? '}) (input_keys={'question'})","Prediction(
    
)",0.0
"Example({'response': 2, 'question': ' While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many pictures Megan still had after deleting some, we need to subtract the number of deleted pictures from the total. So, she has 33 - 31 = 2 pictures left.',
    response=2.0
)",True
"Example({'response': 11, 'question': ' Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many pictures Rachel still has to color, we need to subtract the number of pictures she has colored from the total number of pictures in both books.\n\nTotal pictures = 23 + 32 = 55\nPictures colored so far = 44\n\nRemaining pictures = Total pictures - Pictures colored so far\n= 55 - 44\n= 11',
    response=11.0
)",True
"Example({'response': 1, 'question': ' Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning=""To find out how many shirts Ned didn't wash, we need to subtract the number of shirts he actually washed (29) from the total number of shirts he should have washed (9 + 21 = 30)."",
    response=5.0
)",False
"Example({'response': 66, 'question': ' Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning='Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash?',
    response=66.0
)",True
"Example({'response': 9, 'question': ' For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many pastries Wendy sold, we need to subtract the number of pastries she had left from the total number of pastries she made.',
    response=9.0
)",True
"Example({'response': 22, 'question': ' While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many pictures Debby still has, we need to subtract the number of deleted pictures from the total. So, she has 36 - 14 = 22 pictures left.',
    response=22.0
)",True
"Example({'response': 2, 'question': ' Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many extra flowers Katie picked, we need to subtract the number of flowers she actually used (10) from the total number of flowers she picked initially (3 + 9 = 12).',
    response=5.0
)",False
"Example({'response': 15, 'question': ' Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many problems Faye has left to do for homework, we need to subtract the number of problems she finished from the total number of math and science problems.\n\nFaye had 46 math problems and 9 science problems. She finished 40 problems at school.\nSo, the number of problems left is: 46 + 9 - 40 = 7',
    response=7.0
)",False
