0,1,2
"Example({'response': 39, 'question': ' For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='The total number of pieces of candy they received was 32 + 42 = 74. If they ate 35 pieces the first night, they would have 74 - 35 = 39 pieces left.',
    response=39.0
)",True
"Example({'response': 8, 'question': ' A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='The pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. So, they have 13 - 5 = 8 cats left.',
    response=8.0
)",True
"Example({'response': 2, 'question': "" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    reasoning=""The user bought 2 games from a friend and 2 more at a garage sale, for a total of 4 games. If 2 of the games didn't work, Luke ended up with 2 good games."",
    response=0.5
)",False
"Example({'response': 40, 'question': ' The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? '}) (input_keys={'question'})","Prediction(
    reasoning='The cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, then 35 apples were left over.',
    response=0.35
)",False
"Example({'response': 3, 'question': ' Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? '}) (input_keys={'question'})","Prediction(
    reasoning='Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, Lana picked 36 + 37 = 73 extra flowers.',
    response=73.0
)",False
"Example({'response': 7, 'question': ' Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    reasoning='The total number of carrots picked was 29 + 16 = 45. If 38 of the carrots were good, then 45 - 38 = 7 were bad.',
    response=0.7
)",False
"Example({'response': 19, 'question': ' Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? '}) (input_keys={'question'})","Prediction(
    reasoning='Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. So he got 28 + 25 = 53 dollars.',
    response=53.0
)",False
"Example({'response': 2, 'question': ' While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, she still had 15 + 18 - 31 = 13 pictures from her vacation.',
    response=13.0
)",False
"Example({'response': 11, 'question': ' Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? '}) (input_keys={'question'})","Prediction(
    reasoning='Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color?',
    response=0.5
)",False
"Example({'response': 1, 'question': ' Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning='The number of shirts Ned washed was 9 + 21 = 29.',
    response=0.29
)",False
"Example({'response': 66, 'question': ' Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning='The number of shirts Oliver had to wash that he did not wash was 39 - 20 = 19.',
    response=19.0
)",False
"Example({'response': 9, 'question': ' For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? '}) (input_keys={'question'})","Prediction(
    reasoning='The school baked 4 cupcakes and 29 cookies. Wendy had 24 to take back home, so she sold 4 cupcakes and 29 cookies.',
    response=24.0
)",False
"Example({'response': 22, 'question': ' While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='The number of pictures Debby still had from her vacation is 24 - 14 = 10.',
    response=10.0
)",False
"Example({'response': 2, 'question': ' Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? '}) (input_keys={'question'})","Prediction(
    reasoning='Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick?',
    response=0.5
)",False
"Example({'response': 15, 'question': ' Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? '}) (input_keys={'question'})","Prediction(
    reasoning='The number of math problems Faye had for homework was 46, and the number of science problems was 9. Therefore, she had 46 + 9 = 55 problems to do for homework.',
    response=0.55
)",False
"Example({'response': 2, 'question': ' Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? '}) (input_keys={'question'})","Prediction(
    reasoning='Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, she deleted 23 music files and 21 video files, resulting in 4 - 23 = 17 files still on her flash drive.',
    response=17.0
)",False
"Example({'response': 14, 'question': "" Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    reasoning=""The user bought 11 games from a friend and 22 more at a garage sale, for a total of 11 + 22 = 33 games. If 19 of the games didn't work, Ned ended up with 33 - 19 = 14 good games."",
    response=14.0
)",True
"Example({'response': 86, 'question': ' Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? '}) (input_keys={'question'})","Prediction(
    reasoning=""Chloe's points changed throughout the game. In the first round, she scored 40 points. In the second round, she scored 50 points. In the last round, she lost 4 points, resulting in a final score of 40 points."",
    response=40.0
)",False
"Example({'response': 50, 'question': "" At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ""}) (input_keys={'question'})","Prediction(
    reasoning=""He won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, he won 32 + 25 - 7 = 45 tickets."",
    response=45.0
)",False
"Example({'response': 25, 'question': ' Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    reasoning='The total number of carrots picked was 26 + 15 = 41. If only 16 of the carrots were good, then 41 - 16 = 25 bad carrots were picked.',
    response=0.25
)",False
"Example({'response': 4, 'question': ' For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? '}) (input_keys={'question'})","Prediction(
    reasoning='The school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home, so she sold 7 pastries.',
    response=7.0
)",False
"Example({'response': 68, 'question': ' Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? '}) (input_keys={'question'})","Prediction(
    reasoning='The number of pictures Zoe has left to color is 44 - 20 = 24.',
    response=0.24
)",False
"Example({'response': 6, 'question': "" John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    reasoning=""John bought 21 games from a friend and 8 more at a garage sale, so he bought 29 games in total. If 23 of the games didn't work, he ended up with 29 - 23 = 6 good games."",
    response=6.0
)",True
"Example({'response': 19, 'question': ' Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? '}) (input_keys={'question'})","Prediction(
    reasoning='Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. So, he got 18 + 10 = 28 dollars.',
    response=28.0
)",False
"Example({'response': 55, 'question': ' While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, she still had 41 - 15 = 26 pictures from her vacation.',
    response=0.26
)",False
"Example({'response': 34, 'question': ' Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning='The number of shirts Sam had to wash that he did not wash was 11.',
    response=0.5
)",False
"Example({'response': 12, 'question': ' A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='The number of cats sold was 20, which is less than the total number of cats (12 + 20 = 32).',
    response=0.5
)",False
"Example({'response': 16, 'question': ' Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    reasoning='The number of bad carrots is 12.',
    response=0.12
)",False
"Example({'response': 73, 'question': ' The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? '}) (input_keys={'question'})","Prediction(
    reasoning='The cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with?',
    response=0.5
)",False
"Example({'response': 17, 'question': "" There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ""}) (input_keys={'question'})","Prediction(
    reasoning=""The number of students who didn't make the cut was 39 - 26 = 13."",
    response=13.0
)",False
"Example({'response': 18, 'question': ' A pet store had 38 siamese cats and 25 house cats. During a sale they sold 45 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='The total number of cats in the store was 38 + 25 = 63.',
    response=45.0
)",False
