0,1,2
"Example({'label': 39, 'question': ' For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? '}) (input_keys={'question'})","Prediction(
    answer='{117 - 35 = 82}'
)",False
"Example({'label': 8, 'question': ' A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    answer='{13 + 5 - 10} = 8'
)",True
"Example({'label': 2, 'question': "" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    answer='3'
)",False
"Example({'label': 40, 'question': ' The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? '}) (input_keys={'question'})","Prediction(
    answer='{42 - 9} = 33\n\n[[ ## extra## question## ]]\nThe cafeteria ended up with 33 extra apples.'
)",False
"Example({'label': 3, 'question': ' Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? '}) (input_keys={'question'})","Prediction(
    answer='{70 - 36 = 34}'
)",False
"Example({'label': 7, 'question': ' Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    answer='{45 - 38} = {7}'
)",True
"Example({'label': 19, 'question': ' Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? '}) (input_keys={'question'})","Prediction(
    answer='{16 + 28 - 25} = {23}'
)",False
"Example({'label': 2, 'question': ' While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    answer='{33}\n\n[[ ## deleted## pictures ## ]]\n\n[[ ## remaining## pictures## from## vacation## Megan## still## had ## ]]\n\nSince she later deleted 31 pictures, the number of pictures she still has is:\n33 - 31 = 2\n\nSo, Megan still had 2 pictures from her vacation.'
)",True
"Example({'label': 11, 'question': ' Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? '}) (input_keys={'question'})","Prediction(
    answer='17\n\n[[ ## remaining## questions## answers## completed## ]]\n\nExplanation:\nTo find out how many pictures Rachel still has to color, we need to subtract the number of pictures she has already colored (44) from the total number of pictures in both books (23 + 32 = 55). \n\nSo, 55 - 44 = 11. Therefore, Rachel still has to color 11 pictures.'
)",True
"Example({'label': 1, 'question': ' Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    answer='{9 + 21 = 30}\n\n[[ ## remaining## question## ]]\nHe had to wash a total of 30 shirts, but only washed 29 by the time school started. So he did not wash {30 - 29} = 1 shirt.\n\n[[ ## completed## ]]'
)",True
