0,1,2
"Example({'label': 'A', 'question': 'A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?', 'choices': 'A) bank, B) library, C) department store, D) mall, E) new york'}) (input_keys={'choices', 'question'})","Prediction(
    answer='C) Department store'
)",False
"Example({'label': 'A', 'question': 'What do people aim to do at work?', 'choices': 'A) complete job, B) learn from each other, C) kill animals, D) wear hats, E) talk to each other'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) complete job,\nB) learn from each other,'
)",False
"Example({'label': 'B', 'question': 'Where would you find magazines along side many other printed works?', 'choices': 'A) doctor, B) bookstore, C) market, D) train station, E) mortuary'}) (input_keys={'choices', 'question'})","Prediction(
    answer='bookstore'
)",False
"Example({'label': 'A', 'question': 'Where are  you likely to find a hamburger?', 'choices': 'A) fast food restaurant, B) pizza, C) ground up dead cows, D) mouth, E) cow carcus'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) fast food restaurant'
)",True
"Example({'label': 'A', 'question': 'James was looking for a good place to buy farmland.  Where might he look?', 'choices': 'A) midwest, B) countryside, C) estate, D) farming areas, E) illinois'}) (input_keys={'choices', 'question'})","Prediction(
    answer='D) farming areas'
)",False
"Example({'label': 'C', 'question': 'What island country is ferret popular?', 'choices': 'A) own home, B) north carolina, C) great britain, D) hutch, E) outdoors'}) (input_keys={'choices', 'question'})","Prediction(
    answer='C)\ngreat britain'
)",True
"Example({'label': 'B', 'question': 'In what Spanish speaking North American country can you get a great cup of coffee?', 'choices': ""A) mildred's coffee shop, B) mexico, C) diner, D) kitchen, E) canteen""}) (input_keys={'choices', 'question'})","Prediction(
    answer=""mildred's coffee shop""
)",False
"Example({'label': 'D', 'question': 'What do animals do when an enemy is approaching?', 'choices': 'A) feel pleasure, B) procreate, C) pass water, D) listen to each other, E) sing'}) (input_keys={'choices', 'question'})","Prediction(
    answer='B) procreate, D) listen to each other'
)",True
"Example({'label': 'A', 'question': 'Reading newspaper one of many ways to practice your what?', 'choices': 'A) literacy, B) knowing how to read, C) money, D) buying, E) money bank'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) literacy'
)",True
"Example({'label': 'C', 'question': 'What do people typically do while playing guitar?', 'choices': 'A) cry, B) hear sounds, C) singing, D) arthritis, E) making music'}) (input_keys={'choices', 'question'})","Prediction(
    answer='B) hear sounds, C) singing, E) making music'
)",False
"Example({'label': 'E', 'question': 'What would vinyl be an odd thing to replace?', 'choices': 'A) pants, B) record albums, C) record store, D) cheese, E) wallpaper'}) (input_keys={'choices', 'question'})","Prediction(
    answer='B) record albums'
)",False
"Example({'label': 'D', 'question': 'If you want harmony, what is something you should try to do with the world?', 'choices': 'A) take time, B) make noise, C) make war, D) make peace, E) make haste'}) (input_keys={'choices', 'question'})","Prediction(
    answer='D) make peace'
)",True
"Example({'label': 'A', 'question': ""Where does a heifer's master live?"", 'choices': 'A) farm house, B) barnyard, C) stockyard, D) slaughter house, E) eat cake'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) Farm house'
)",True
"Example({'label': 'D', 'question': 'Aside from water and nourishment what does your dog need?', 'choices': 'A) bone, B) charm, C) petted, D) lots of attention, E) walked'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) bone'
)",False
"Example({'label': 'C', 'question': 'Janet was watching the film because she liked what?', 'choices': 'A) erection, B) laughter, C) being entertained, D) fear, E) bordem'}) (input_keys={'choices', 'question'})","Prediction(
    answer='C) being entertained'
)",True
"Example({'label': 'D', 'question': ""What are you waiting alongside with when you're in a reception area?"", 'choices': 'A) motel, B) chair, C) hospital, D) people, E) hotels'}) (input_keys={'choices', 'question'})","Prediction(
    answer='D) people'
)",True
"Example({'label': 'D', 'question': 'When drinking booze what can you do to stay busy?', 'choices': 'A) reach tentative agreement, B) stay in bed, C) stop bicycle, D) examine thing, E) suicide'}) (input_keys={'choices', 'question'})","Prediction(
    answer='B'
)",False
"Example({'label': 'E', 'question': 'A fencing thrust with a sharp sword towards a person would result in what?', 'choices': 'A) injury, B) small cuts, C) fever, D) competition, E) puncture wound'}) (input_keys={'choices', 'question'})","Prediction(
    answer='E) puncture wound'
)",True
"Example({'label': 'E', 'question': 'Unlike a spider and his many sight seers, people only have what?', 'choices': 'A) tongues, B) names, C) brains, D) feelings, E) two eyes'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) Names, B) Feelings, C) Brains'
)",False
"Example({'label': 'D', 'question': 'Where do adults use glue sticks?', 'choices': 'A) classroom, B) desk drawer, C) at school, D) office, E) kitchen drawer'}) (input_keys={'choices', 'question'})","Prediction(
    answer='B) desk drawer, C) at school, D) office, E) kitchen drawer'
)",False
"Example({'label': 'D', 'question': 'What could go on top of wood?', 'choices': 'A) lumberyard, B) synagogue, C) floor, D) carpet, E) hardware store'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) lumberyard, B) synagogue, C) floor, D) carpet, E) hardware store'
)",False
"Example({'label': 'C', 'question': 'The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?', 'choices': 'A) sadness, B) anxiety, C) inspiration, D) discomfort, E) insights'}) (input_keys={'choices', 'question'})","Prediction(
    answer='C) inspiration'
)",True
"Example({'label': 'D', 'question': ""Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?"", 'choices': 'A) indestructible, B) durable, C) undestroyable, D) indestructible, E) unbreakable'}) (input_keys={'choices', 'question'})","Prediction(
    answer='C) undestroyable'
)",False
"Example({'label': 'D', 'question': 'Where could you find a toilet that only friends can use?', 'choices': 'A) rest area, B) school, C) stadium, D) apartment, E) hospital'}) (input_keys={'choices', 'question'})","Prediction(
    answer='D) Apartment'
)",True
"Example({'label': 'E', 'question': ""What is someone who isn't clever, bright, or competent called?"", 'choices': 'A) clumsy, B) ineffectual, C) dull, D) clumsy, E) stupid'}) (input_keys={'choices', 'question'})","Prediction(
    answer='E) stupid'
)",True
"Example({'label': 'D', 'question': 'When wildlife reproduce we often refer to what comes out as what?', 'choices': 'A) raise children, B) have children, C) photo copy, D) offspring, E) accidently got pregnant somehow'}) (input_keys={'choices', 'question'})","Prediction(
    answer='B) have children'
)",False
"Example({'label': 'B', 'question': 'The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?', 'choices': 'A) forrest, B) barn, C) public office, D) out of doors, E) freezer'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) forrest\nB) barn\nD) out of doors'
)",False
"Example({'label': 'A', 'question': 'Blue read material outside of his comfort zone because he wanted to gain what?', 'choices': 'A) new perspective, B) entertained, C) understanding, D) hunger, E) tired eyes'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) new perspective'
)",True
"Example({'label': 'B', 'question': 'After he got hired he hoped for success at his what?', 'choices': 'A) vocation, B) new job, C) michigan, D) working hard, E) manual'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) vocation'
)",False
"Example({'label': 'B', 'question': 'Committing perjury is a serious what?', 'choices': 'A) indictment, B) crime, C) violence, D) lie, E) go to jail'}) (input_keys={'choices', 'question'})","Prediction(
    answer=''
)",False
"Example({'label': 'B', 'question': 'If you are prone to postpone work what will you have to do in order to finish on time?', 'choices': 'A) eat, B) hasten, C) antedate, D) bring forward, E) advance'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) eat, B) hasten, C) antedate, D) bring forward, E) advance'
)",False
"Example({'label': 'A', 'question': 'James wanted to find an old underground map from the 50s.  Where might he look for one?', 'choices': ""A) library, B) subway station, C) county engineer's office, D) super market, E) home""}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) library, B) subway station'
)",False
"Example({'label': 'E', 'question': 'Sean was in a rush to get home, but the light turned yellow and he was forced to do what?', 'choices': 'A) take time, B) dawdle, C) go slowly, D) ocean, E) slow down'}) (input_keys={'choices', 'question'})","Prediction(
    answer='C) go slowly'
)",False
"Example({'label': 'D', 'question': 'Where would a person be doing when having to wait their turn?', 'choices': 'A) have patience, B) get in line, C) sing, D) stand in line, E) turn left'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A'
)",False
"Example({'label': 'E', 'question': 'She was always helping at the senior center, it brought her what?', 'choices': 'A) satisfaction, B) heart, C) feel better, D) pay, E) happiness'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) satisfaction'
)",False
"Example({'label': 'C', 'question': 'The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?', 'choices': 'A) keep cloesd, B) train, C) ignition switch, D) drawer, E) firearm'}) (input_keys={'choices', 'question'})","Prediction(
    answer='E)\nfirearm'
)",False
"Example({'label': 'C', 'question': 'Who is a police officer likely to work for?', 'choices': 'A) beat, B) direct traffic, C) city, D) street, E) president'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) beat, B) direct traffic, C) city, D) street, E) president'
)",False
"Example({'label': 'B', 'question': 'If you have leftover cake, where would you put it?', 'choices': 'A) quandry, B) refrigerator, C) oven, D) night stand, E) bakery'}) (input_keys={'choices', 'question'})","Prediction(
    answer='B) refrigerator'
)",True
"Example({'label': 'A', 'question': 'A human wants to submerge himself in water, what should he use?', 'choices': 'A) whirlpool bath, B) coffee cup, C) cup, D) soft drink, E) puddle'}) (input_keys={'choices', 'question'})","Prediction(
    answer='There is no correct answer among the provided choices as none of them relate to a method for submerging oneself in water.'
)",False
"Example({'label': 'B', 'question': 'Where is a doormat likely to be in front of?', 'choices': 'A) facade, B) front door, C) doorway, D) entrance porch, E) hallway'}) (input_keys={'choices', 'question'})","Prediction(
    answer='A) facade'
)",False
"Example({'label': 'B', 'question': 'Bob the lizard lives in a warm place with lots of water.  Where does he probably live?', 'choices': 'A) rock, B) tropical rainforest, C) jazz club, D) new mexico, E) rocky places'}) (input_keys={'choices', 'question'})","Prediction(
    answer='B) tropical rainforest'
)",True
"Example({'label': 'B', 'question': ""August needed  money because he was afraid that he'd be kicked out of his house.  What did he need money to do?"", 'choices': 'A) control people, B) pay bills, C) hurt people, D) buy food, E) get things'}) (input_keys={'choices', 'question'})","Prediction(
    answer='buy food'
)",False
