0,1,2
"Example({'label': 39, 'question': ' For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? '}) (input_keys={'question'})","Prediction(
    answer=""To determine how many pieces of candy Debby and her sister have left after eating some on the first night, we need to follow these steps:\n\n1. Calculate the total number of candies they had initially by adding the candies each person had.\n2. Subtract the number of candies they ate from the initial total.\n\nLet's do this step-by-step:\n\n1. Total candies initially:\n   - Debby: 32 pieces\n   - Her sister: 42 pieces\n\n   Combined total = 32 + 42 = 74 pieces\n\n2. Number of candies eaten on the first night:\n   - They ate 35 pieces.\n\nNow, we subtract the number of candies they ate from their initial total:\n\nTotal candies left = Initial total - Candies eaten\n                  = 74 - 35\n                  = 39 pieces\n\nTherefore, Debby and her sister have 39 pieces of candy left.""
)",True
"Example({'label': 8, 'question': ' A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    answer=""To determine how many cats are left in the pet store after the sale, we need to follow these steps:\n\n1. Calculate the total number of cats initially:\n   - Siamese cats: 13\n   - House cats: 5\n   - Total initial cats = 13 + 5\n\n2. Subtract the number of cats sold from the total initial number of cats.\n\nLet's perform the calculations step by step:\n\n1. Initial total number of cats:\n   \\[\n   13 + 5 = 18\n   \\]\n\n2. Number of cats sold: 10\n\n3. Cats left after sale:\n   \\[\n   18 - 10 = 8\n   \\]\n\nTherefore, the pet store has 8 cats left.""
)",True
"Example({'label': 2, 'question': "" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    answer='He ended up with 2 + 2 - 2 = 2 good games.'
)",True
"Example({'label': 40, 'question': ' The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? '}) (input_keys={'question'})","Prediction(
    answer='To determine the number of extra apples the cafeteria ended up with, we first need to calculate the total number of apples ordered. The cafeteria ordered 42 red apples and 7 green apples.\n\nTotal apples = Red apples + Green apples\nTotal apples = 42 + 7\nTotal apples = 49\n\nNext, we know that only 9 students wanted fruit. To find out how many extra apples were left over, we subtract the number of students who wanted fruit from the total number of apples.\n\nExtra apples = Total apples - Students wanting fruit\nExtra apples = 49 - 9\nExtra apples = 40\n\nTherefore, the cafeteria ended up with 40 extra apples.'
)",True
"Example({'label': 3, 'question': ' Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? '}) (input_keys={'question'})","Prediction(
    answer='To determine the number of extra flowers Lana picked, we first need to calculate the total number of flowers she initially picked. She picked 36 tulips and 37 roses, so the total is:\n\n\\[ \\text{Total flowers} = 36 + 37 = 73 \\]\n\nLana only used 70 of these flowers for making bouquets. Therefore, to find out how many extra flowers she picked, we subtract the number of flowers used from the total number of flowers picked:\n\n\\[ \\text{Extra flowers} = \\text{Total flowers} - \\text{Flowers used} = 73 - 70 = 3 \\]\n\nSo, Lana had 3 extra flowers.'
)",True
"Example({'label': 7, 'question': ' Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    answer=""To determine the number of bad carrots, we first need to find out the total number of carrots picked by Carol and her mother. \n\nCarol picked 29 carrots.\nHer mother picked 16 carrots.\n\nTotal carrots picked = 29 + 16\n\nWe then subtract the number of good carrots from the total number of carrots picked to find the number of bad carrots.\n\nNumber of good carrots = 38\nTotal carrots picked = 29 + 16 = 45\n\nNumber of bad carrots = Total carrots picked - Number of good carrots\n\nLet's calculate this.""
)",False
"Example({'label': 19, 'question': ' Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? '}) (input_keys={'question'})","Prediction(
    answer='Roger initially had $16. For his birthday, he received an additional $28, bringing his total to:\n\\[ 16 + 28 = 44 \\] dollars.\n\nHowever, Roger spent $25 on a new game. Therefore, the amount of money he has now is:\n\\[ 44 - 25 = 19 \\]\n\nSo, Roger currently has $19.'
)",True
"Example({'label': 2, 'question': ' While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    answer='Megan originally took a total of 15 (zoo) + 18 (museum) = 33 pictures. After deleting 31 pictures, she still has 33 - 31 = 2 pictures from her vacation.'
)",True
"Example({'label': 11, 'question': ' Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? '}) (input_keys={'question'})","Prediction(
    answer='27'
)",False
"Example({'label': 1, 'question': ' Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    answer=""To determine how many shirts Ned didn't wash, we first need to calculate the total number of shirts he intended to wash. \n\nHe had 9 short sleeve shirts and 21 long sleeve shirts. Therefore, the total number of shirts is:\n\\[ 9 + 21 = 30 \\]\n\nBy the time school started, he had washed 29 shirts.\n\nTo find out how many shirts he didn't wash, we subtract the number of shirts he washed from the total number of shirts:\n\\[ 30 - 29 = 1 \\]\n\nSo, Ned did not wash 1 shirt.""
)",True
