0,1,2
"Example({'response': 39, 'question': ' For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning=""To find out how many pieces of candy Debby and her sister have left, we first need to calculate the total amount of candy they had initially by adding Debby'thy 32 pieces to her sister’s 42. Then, subtract the number of candies eaten on the first night (35) from this combined total."",
    response=7.0
)",False
"Example({'response': 8, 'question': ' A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? '}) (input_keys={'question'})","Prediction(
    reasoning='The total number of cats in the store initially was 13 Siamese + 5 house cats, which equals to 18 cats. During a sale they sold 10 cats. To find out how many are left, we subtract the number of cats sold from the initial amount: 18 - thy',
    response=7.0
)",False
"Example({'response': 2, 'question': "" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ""}) (input_keys={'question'})","Prediction(
    reasoning='Luke initially bought 2 games from his friend, added to that he purchased another set of 2 at a garage sale. This gives him a total of 4 new games. However, since 2 out of these did not work properly, we need to subtract them from the total number of newly acquired games to find out how many good ones Luke ended up with.',
    response=1.0
)",False
"Example({'response': 40, 'question': ' The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many extra apples there are, we first need to calculate the total number of ordered apples by adding together both red and green ones. Then, since only a certain number of students wanted fruit (9 in this case), we subtract that from the total order count. The result will be the excess amount of fruits not consumed during lunchtime.',
    response=36.0
)",False
"Example({'response': 3, 'question': ' Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many extra flowers Lana picked, we first need to calculate the total number of flowers she initially had by adding together the tulips and roses. Then, subtract the number of flowers used in bouquets from this total sum. The difference will give us the count of extra flowers that were not used for making bouquets.',
    response=13.0
)",False
"Example({'response': 7, 'question': ' Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out the number of bad carrots, we first need to determine the total number of carrots picked by both Carol and her mother. Then, subtract the good ones from this total.',
    response=7.0
)",True
"Example({'response': 19, 'question': ' Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how much money Roger has now, we need to calculate his total after receiving additional funds from his birthday and subtracting the cost of the new game. Initially, he had $16. He received an extra $28 for his birthday, making it a subtotal before expenses. Then, he spent $25 on a new game which needs to be deducted from this amount.',
    response=33.0
)",False
"Example({'response': 2, 'question': ' While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many pictures Megan still has, we need to calculate the total number of pictures she took initially by adding those from the zoo and museum. Then, subtract the number of deleted pictures from this total sum. The calculation will be as follows: (15 + 18) - 31.',
    response=0.0
)",False
"Example({'response': 11, 'question': ' Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many pictures Rachel has left to color, we first need to determine the total number of pictures across both coloring books. We do this by adding the number of pictures in each book: 23 from the first and 32 from the second, giving us a total of 55 pictures. Then, since Rachel colored 44 pictures already, we subtract that amount from the total to find out how many are left.',
    response=11.0
)",True
"Example({'response': 1, 'question': ' Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many shirts Ned did not wash, we first need to calculate the total number of shirts he had to wash. Then, subtract the number of shirts he managed to wash before school started from this total. The difference will give us the count of unwashed shirts.\n\nTotal shirts = Short sleeve shirts + Long sleeve shirts\n             = 9 + 21\n             = 30 shirts\n\nShirts washed before school started: 29\nUnwashed shirts = Total shirts - Shirts washed\n                = 30 - dict(Ned=""shirt"", count=29)[""count""]\n                \nNow, we calculate the unwashed shirts.',
    response=1.0
)",True
"Example({'response': 66, 'question': ' Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? '}) (input_keys={'question'})","Prediction(
    reasoning='To find out how many shirts Oliver has not washed, we first need to calculate the total number of shirts he had. Then, subtract the number of shirts he managed to wash before school started from this total.',
    response=66.0
)",True
"Example({'response': 9, 'question': ' For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? '}) (input_keys={'question'})","Prediction(
    reasoning=""To determine how many pastries Wendy sold, we need to calculate the total number of baked goods she made initially and subtract the amount left after the sale. Initially, Wendy had a sum of cupcakes (4) and cookies (29), which gives us 33 items in total. After the sale, she took back home 24 pastries. Therefore, to find out how many were sold, we subtract the remaining amount from the initial quantity:\n\nNumber of pastries sold = Initial number - Remaining after sale\n                         = 33 - dict(Wendy_takes=24)['remain']"",
    response=19.0
)",False
"Example({'response': 22, 'question': ' While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? '}) (input_keys={'question'})","Prediction(
    reasoning=""Debby initially took a total of 24 pictures at the zoo plus 12 at the museum, which equals 36 pictures. After deleting 14 pictures from her vacation'dictated collection', we subtract those to find out how many she has left. The calculation is as follows: 36 (total initial photos) - 14 (deleted photos)."",
    response=9.0
)",False
